outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,pred_path,color_group
nonvegan,mpba-modifiable,count,0.9909898502687982,0.7524811161434249,1.2193989885183885,0.9909898502687982,0.9990953108169471,1.02172248153063,Pooled,POOLED,NA,Animal
nonvegan,mpba-modifiable,proportion,0.994429289505338,0.8547350616329299,1.1554721952696163,0.9456688276592202,0.994429289505338,1.01120456600385,Pooled,POOLED,NA,Animal
nonvegan,vegan,count,0.9712659395112743,0.6004210889537516,1.599487955158658,0.9712659395112743,0.9970887493231316,1.0608545877844,Pooled,POOLED,NA,Animal
nonvegan,vegan,proportion,0.9817331771048534,0.8453060137368614,1.1307082725604254,0.8316386786884647,0.9817331771048534,1.01629986066628,Pooled,POOLED,NA,Animal
nonvegan,vegetarian,count,0.9980670888241395,0.9211893381257013,1.069535041896306,0.9980670888241395,0.9998065405497558,1.018935244326,Pooled,POOLED,NA,Animal
nonvegan,vegetarian,proportion,0.9791166223140009,0.8703383063896641,1.1119878310854139,0.8097374689160626,0.9791166223140009,1.03647430644444,Pooled,POOLED,NA,Animal
meat,mpba-modifiable,count,0.9891859558037066,0.85009028924315,1.1624233830457622,0.9891859558037066,0.9989132967935221,1.02193288153117,Pooled,POOLED,NA,Animal
meat,mpba-modifiable,proportion,1.0304280799285086,0.9014155301070277,1.1749372859357559,1.349512309283656,1.0304280799285086,1.00550860518848,Pooled,POOLED,NA,Animal
meat,vegan,count,1.0148325097404678,0.6138371279185556,1.5815856967080713,1.0148325097404678,1.0014734428360996,1.02580915992028,Pooled,POOLED,NA,Animal
meat,vegan,proportion,0.9280544734501314,0.7873862583934562,1.0988892011949123,0.4739523542487133,0.9280544734501314,1.03274237024917,Pooled,POOLED,NA,Animal
meat,vegetarian,count,0.9777308618000206,0.9058427777411985,1.0398493722096847,0.9777308618000206,0.9977504501130351,1.00522769877255,Pooled,POOLED,NA,Animal
meat,vegetarian,proportion,0.8600520996203845,0.7599815479573401,0.9862017146996509,0.22143568204997385,0.8600520996203845,1.0492220139393,Pooled,POOLED,NA,Animal
chicken_fish,mpba-modifiable,count,0.9765066757071207,0.8348524490253568,1.1428462913377782,0.9765066757071207,0.9976254544714134,1.00768572338554,Pooled,POOLED,NA,Animal
chicken_fish,mpba-modifiable,proportion,1.0093646449443463,0.8381350470385605,1.1955431966865206,1.0976929783262521,1.0093646449443463,1.00078508186701,Pooled,POOLED,NA,Animal
chicken_fish,vegan,count,0.925527717077632,0.5936577821318823,1.4269360525759285,0.925527717077632,0.9922907499636598,1.00287070629228,Pooled,POOLED,NA,Animal
chicken_fish,vegan,proportion,0.8967809142250319,0.7456395481281985,1.084819626157843,0.33640587208619127,0.8967809142250319,1.00320238999202,Pooled,POOLED,NA,Animal
chicken_fish,vegetarian,count,1.0321357077966395,0.8915086178859298,1.2553803005416766,1.0321357077966395,1.0031680234345692,1.03072467010167,Pooled,POOLED,NA,Animal
chicken_fish,vegetarian,proportion,0.8470511112943774,0.7057011897938092,1.0410174554960674,0.1901499281673558,0.8470511112943774,1.00229954706793,Pooled,POOLED,NA,Animal
vegetarian,mpba-modifiable,count,1.0242763583032315,0.7559853358609907,1.3157144814769262,1.0242763583032315,1.0024015161676574,1.06608340023127,Pooled,POOLED,NA,Plant-based
vegetarian,mpba-modifiable,proportion,0.9702310627317392,0.8103806993768635,1.1656741946675708,0.7391826217253141,0.9702310627317392,1.00511630939998,Pooled,POOLED,NA,Plant-based
vegetarian,vegan,count,0.9817651140886642,0.6601101212505639,1.486903742203344,0.9817651140886642,0.9981613732893846,1.02376963831623,Pooled,POOLED,NA,Plant-based
vegetarian,vegan,proportion,1.0102838276196655,0.8737476871292459,1.178338095953689,1.1077302347108262,1.0102838276196655,1.04992891750951,Pooled,POOLED,NA,Plant-based
vegetarian,vegetarian,count,1.018939452052721,0.8954945799859697,1.1230229647354733,1.018939452052721,1.001877994575976,1.01351505101277,Pooled,POOLED,NA,Plant-based
vegetarian,vegetarian,proportion,1.0996885539864583,0.9378331094508917,1.2572001085073332,2.586408075586005,1.0996885539864583,1.03788168003397,Pooled,POOLED,NA,Plant-based
vegan,mpba-modifiable,count,1.0087634750098522,0.8431705384279655,1.2229174478952374,1.0087634750098522,1.0008729106288217,1.00976359991991,Pooled,POOLED,NA,Plant-based
vegan,mpba-modifiable,proportion,0.9787818054536944,0.8452385673476541,1.1365461549858478,0.8069727630771723,0.9787818054536944,1.01584512445743,Pooled,POOLED,NA,Plant-based
vegan,vegan,count,0.9295913241069169,0.6332233914575962,1.3930046703221766,0.9295913241069169,0.9927255651342527,1.01367583470913,Pooled,POOLED,NA,Plant-based
vegan,vegan,proportion,1.067088062757599,0.9024777390065771,1.26251202263343,1.91426745529293,1.067088062757599,1.00076641190236,Pooled,POOLED,NA,Plant-based
vegan,vegetarian,count,1.0041470873376188,0.9264273948992237,1.0929530220176231,1.0041470873376188,1.0004139368353728,1.02697827685503,Pooled,POOLED,NA,Plant-based
vegan,vegetarian,proportion,1.0331401875151724,0.9104395718603676,1.1896432550423128,1.385455408568571,1.0331401875151724,1.01170145582976,Pooled,POOLED,NA,Plant-based
nonvegan,mpba-modifiable,count,1.007809477576389,0.8021728224427509,1.2668505929708564,1.007809477576389,1.0007782167980412,1.00145994979798,Restaurant,2HRX9P6HKXA8V,NA,Animal
nonvegan,mpba-modifiable,count,0.9977256419400213,0.9749292909175434,1.0203666540917276,0.9977256419400213,0.9997723310864514,1.00051753582691,Restaurant,ED5J990H5VAZT,NA,Animal
nonvegan,mpba-modifiable,count,1.0014531154910558,0.9619000832510703,1.0414482187207994,1.0014531154910558,1.0001452166169522,1.00216613461077,Restaurant,JHDN7CF1C03X5,NA,Animal
nonvegan,mpba-modifiable,count,0.9795529885037563,0.8191990146642879,1.170148185426054,0.9795529885037563,0.9979362379355843,1.00715646816109,Restaurant,L69HYJ4Y3TR91,NA,Animal
nonvegan,mpba-modifiable,count,1.0070466221970713,0.9197361210746905,1.103014322248669,1.0070466221970713,1.00070243767137,1.00257042287047,Restaurant,SRQS8F7JWA9MZ,NA,Animal
nonvegan,mpba-modifiable,count,1.0039072796183155,0.9759234953531873,1.0323639702689544,1.0039072796183155,1.0003900426495755,1.00047282565876,Restaurant,W8T41JZK0ZMEP,NA,Animal
