outcome,effect_type,mean,q5,q95,rhat,ess_bulk,estimate_type,restaurant_id
breakfast,Level Change,-0.3199266476702222,-0.8241982999999999,0.24758930000000018,1.001734788852577,1303.414010260814,Pooled,POOLED
breakfast,Slope Change,-0.2596157438689111,-1.1572705,0.6840547500000002,1.002087086165992,1477.994996540621,Pooled,POOLED
textured,Level Change,0.24061995837115555,-0.6003461,1.1665135000000002,1.060159567748309,105.6523460629367,Pooled,POOLED
textured,Slope Change,-0.3489518067942222,-1.847554,1.1014000000000002,1.0072316372172752,206.85946852799918,Pooled,POOLED
untextured,Level Change,0.7457021302434,-0.5806571500000001,1.9482764999999986,1.0066442380484202,167.46866558197644,Pooled,POOLED
untextured,Slope Change,-0.9098608261713333,-1.8837304999999998,0.24172539999999937,1.0101041999912808,91.42526027749084,Pooled,POOLED
breakfast,Level Change,-0.616186139423817,-0.8915981192837836,-0.3285040669720361,1.0003927092150653,NA,Restaurant,2HRX9P6HKXA8V
breakfast,Slope Change,-1.0788096613719298,-1.7147984280919266,-0.4307829160924542,1.0003388554823,NA,Restaurant,2HRX9P6HKXA8V
breakfast,Level Change,-0.06187540371808753,-0.40047756659712525,0.2700271372130602,1.000631548318321,NA,Restaurant,L69HYJ4Y3TR91
breakfast,Slope Change,0.08617769624105241,-1.1394342831883648,1.5085119938441398,0.9999612967694126,NA,Restaurant,L69HYJ4Y3TR91
breakfast,Level Change,-0.3856624808119846,-0.7339691750802004,-0.040821994520255166,1.0001874586856807,NA,Restaurant,ED5J990H5VAZT
breakfast,Slope Change,0.131028262406404,-0.4307829160924542,0.6780335427498971,0.9995483064168178,NA,Restaurant,ED5J990H5VAZT
textured,Level Change,0.28517894223366247,0.01980262729617973,0.5596157879354227,1.0023384998534837,NA,Restaurant,VLZX7K2M9QD4T
textured,Slope Change,-0.6733445532637656,-2.5257286443082556,0.9360933591703348,1.015947001453199,NA,Restaurant,VLZX7K2M9QD4T
untextured,Level Change,-0.09431067947124129,-0.2613647641344075,0.06765864847381486,1.000453212573789,NA,Restaurant,SRQS8F7JWA9MZ
untextured,Level Change,0.02955880224154443,-0.11653381625595151,0.19885085874516517,1.0001696578116002,NA,Restaurant,SRQS8F7JWA9MZ
untextured,Slope Change,-0.9942522733438669,-2.0402208285265546,-0.31471074483970024,1.0029680359405728,NA,Restaurant,SRQS8F7JWA9MZ
untextured,Slope Change,-0.5978370007556204,-1.3093333199837622,0.37843643572024505,1.0049153600100378,NA,Restaurant,SRQS8F7JWA9MZ
untextured,Level Change,3.5832411220909393,2.8015405441895487,4.400603020246817,1.0003396705093996,NA,Restaurant,JHDN7CF1C03X5
untextured,Slope Change,-1.4696759700589417,-2.120263536200091,-0.916290731874155,1.0042596349782795,NA,Restaurant,JHDN7CF1C03X5
